STATE,TIME,MEMORY,DISTANCE
RI,0.22448868200000002,112405.78125,691204.1788677099
RI,0.105387118,3551.0625,603087.6860747398
RI,0.11529027800000001,3551.078125,732950.9180155601
RI,0.08473384,3551.0625,397460.81582740997
RI,0.112675963,3551.0625,523783.85791182204
RI,0.149627964,3551.0625,586861.33022639
RI,0.14858627300000002,3551.078125,904982.06950064
RI,0.092847099,3551.0625,505632.5080295719
RI,0.089279866,3551.0625,378637.22160573
RI,0.15305674800000002,3551.078125,981454.45438393
RI,0.131918906,3551.0625,539042.7822683
RI,0.125592126,3551.0625,717905.56318174
RI,0.096640604,3551.0625,380475.01021460205
RI,0.167839961,3551.0625,1197403.4705175702
RI,0.139902578,3551.0625,687603.0595288001
RI,0.09451725700000001,3551.078125,546435.51487542
RI,0.15099161700000002,3551.078125,924253.3187092298
RI,0.09710374000000001,3551.078125,321336.493158982
RI,0.10891745000000001,3551.078125,742263.52690824
RI,0.14583247600000002,3551.078125,683606.5364998301
RI,0.13434636900000002,3551.078125,711272.9790236299
RI,0.140608483,3531.6484375,726493.2380779199
RI,0.11394185000000001,3531.6640625,418973.31430162996
RI,0.13273276,3531.6484375,599271.85467155
RI,0.144560462,3531.6484375,886789.25007589
RI,0.149696494,3531.6484375,883564.7795076998
RI,0.133379262,3531.6484375,631869.81541494
RI,0.10917911400000001,3531.6640625,496436.8090686519
RI,0.15043101,3531.6484375,1055084.80853374
RI,0.147915168,3531.6484375,1091511.0729997898
RI,0.09851602200000001,3531.6640625,623502.23397882
RI,0.13621691400000002,3531.6640625,566072.2843484221
RI,0.135968381,3531.6484375,591153.1441334402
RI,0.10773811200000001,3531.6640625,757959.2200990819
RI,0.11807273100000001,3531.6640625,667536.977862982
RI,0.14935962,3531.6484375,1018097.14732351
RI,0.09538924400000001,3531.6640625,402648.16268342204
RI,0.142311721,3531.6484375,863161.0777316999
RI,0.14420881800000002,3531.6640625,739115.5550243602
RI,0.149894199,3531.6484375,878917.9876942817
RI,0.121425746,3531.6484375,504500.24498573004
RI,0.156362008,3531.6484375,1150025.3990921099
RI,0.09545730100000001,3531.6640625,686239.999215872
RI,0.123518286,3531.6484375,411138.75741943996
RI,0.134506016,3531.6484375,696305.53751956
RI,0.099247763,3531.6484375,279245.974864072
RI,0.15287499400000001,3531.6640625,1059803.18853945
RI,0.14762403400000002,3531.6640625,978800.9233553198
RI,0.138099954,3531.6484375,669218.48152189
RI,0.154137131,3531.6484375,1174253.4267220001
RI,0.14029555000000002,3531.6640625,713884.096778
RI,0.13175135400000001,3531.6640625,925718.6933165919
RI,0.14402847100000002,3531.6640625,729892.09483753
RI,0.150815331,3531.6484375,953338.9240194103
RI,0.10527678,3531.6484375,309383.60746571195
RI,0.133065661,3531.6484375,454864.9602789699
RI,0.142655484,3531.6484375,785671.89977313
RI,0.13635428500000002,3531.6640625,808989.5276552598
RI,0.163504577,3531.6484375,861146.154540092
RI,0.136975496,3531.6484375,755320.5001768119
RI,0.107453899,3531.6484375,426157.55549138
RI,0.152432076,3531.6484375,973745.0622579001
RI,0.152717812,3531.6484375,793168.1067969421
RI,0.09607026,3531.6484375,467608.841937252
RI,0.13838998800000002,3531.6640625,815262.7738391
RI,0.143182614,3531.6484375,1010505.7044468302
RI,0.120415298,3531.6484375,278905.66602260194
RI,0.156900276,3531.6484375,878307.6176282299
RI,0.166931982,3531.6484375,879295.0930269
RI,0.14185540000000002,3531.6640625,877521.5136986399
RI,0.131694312,3531.6484375,1075889.70695005
RI,0.10187750200000001,3531.6640625,628056.182523772
RI,0.119139012,3531.6484375,588121.8855730501
RI,0.10298543700000001,3531.6640625,435770.68674317194
RI,0.146024709,3531.6484375,766374.74193325
RI,0.097875111,3531.6484375,473530.92141375993
RI,0.143529654,3531.6484375,765209.8596643598
RI,0.14819563400000002,3531.6640625,842375.3027773697
RI,0.136482677,3531.6484375,750469.833608322
RI,0.102690421,3531.6484375,380676.13665909204
RI,0.12363066900000001,3531.6640625,544560.6007615699
RI,0.153744501,3531.6484375,839777.8499308503
RI,0.14111367,3531.6484375,860819.0158262801
RI,0.15240336100000001,3531.6640625,933634.7994579421
RI,0.141871831,3531.6484375,792604.35282028
RI,0.132011967,3531.6484375,691477.9928129198
RI,0.09587485100000001,3531.6640625,450401.97203852196
RI,0.091910607,3531.6484375,402243.17688664194
RI,0.147471549,3531.6484375,902237.82474895
RI,0.14429901,3531.6484375,1089960.7695336519
RI,0.103192774,3531.6484375,669609.3393421499
RI,0.120343551,3531.6484375,619791.66603973
RI,0.096560195,3531.6484375,403938.591486462
RI,0.133964731,3531.6484375,677236.96222311
RI,0.112085551,3531.6484375,592328.5027565999
RI,0.092563219,3531.6484375,335875.46345915203
RI,0.10355574000000001,3531.6640625,607537.042538892
RI,0.111724841,3531.6484375,467520.65964246995
RI,0.08609224500000001,3531.6640625,329099.9071809921
RI,0.09961601,3531.6484375,491087.103352252
AVG-RI,0.12868548449000003,4624.277890625,693722.5120677,
DE,0.6248813160000001,83674.546875,3146721.8530224897
DE,0.587330671,4815.1953125,1754734.3562924087
DE,0.586872568,4815.1953125,2553963.230298229
DE,0.608570695,4815.1953125,3002745.8721219497
DE,0.5944622860000001,4815.2109375,3147231.8132888293
DE,0.58475591,4815.1953125,2632065.324850771
DE,0.6778368810000001,4815.2109375,3416075.0944208996
DE,0.617769435,4815.1953125,3155743.1293753353
DE,0.492310193,4815.1953125,1450560.3044654424
DE,0.6419152140000001,4815.2109375,3712215.584665184
DE,0.73083275,4815.1953125,3840144.773289639
DE,0.4848526,4815.1953125,1600479.5577087833
DE,0.653279916,4815.1953125,4061083.039095658
DE,0.47733983500000005,4815.2109375,1582174.104313386
DE,0.65400839,4815.1953125,3598977.9451856525
DE,0.600673856,4815.1953125,3582550.857580929
DE,0.44876415900000005,4815.2109375,1538419.8839614177
DE,0.601062369,4815.1953125,3259371.992908365
DE,0.48437594,4815.1953125,2063064.0741173048
DE,0.581745065,4815.1953125,2513722.525677934
DE,0.505651439,4815.1953125,1596675.8371591421
DE,0.562566573,4815.1953125,2222063.047694162
DE,0.530700711,4815.1953125,2786084.6908179913
DE,0.611940049,4815.1953125,3547395.783617862
DE,0.679304011,4815.1953125,4454214.355857423
DE,0.611598151,4815.1953125,2735173.8350963877
DE,0.663769775,4815.1953125,4646543.41013453
DE,0.597055619,4815.1953125,2098784.9232334346
DE,0.619169669,4815.1953125,2888983.93662852
DE,0.6356070380000001,4815.2109375,3933814.7207867894
DE,0.662889653,4815.1953125,4177600.968049564
DE,0.5888491250000001,4815.2109375,2200066.929353194
DE,0.48758466100000003,4815.2109375,1438523.3729864853
DE,0.509474992,4815.1953125,1546742.684716884
DE,0.57322735,4815.1953125,3145303.335695563
DE,0.617088285,4815.1953125,4254297.077913287
DE,0.47075316100000003,4815.2109375,1195341.7515643653
DE,0.534787633,4815.1953125,1772916.222085919
DE,0.6460376280000001,4815.2109375,2997749.4598869137
DE,0.628113461,4815.1953125,4039832.672580529
DE,0.725322668,4815.1953125,3940306.94631786
DE,0.618527385,4815.1953125,3473309.1699252985
DE,0.74044237,4815.1953125,4141259.8735928973
DE,0.638679587,4815.1953125,4515479.949221039
DE,0.53211872,4815.1953125,1603961.6626100764
DE,0.620018312,4815.1953125,3198161.6096092095
DE,0.654988998,4815.1953125,4764218.029526351
DE,0.6724436880000001,4815.2109375,3977619.867976719
DE,0.6359424220000001,4815.2109375,4024570.7671008897
DE,0.6504425690000001,4815.2109375,3866449.022063281
DE,0.6122688980000001,4815.2109375,4358476.993418029
DE,0.617510069,4815.1953125,2167879.5523129865
DE,0.7169319590000001,4815.2109375,3814965.17185378
DE,0.668896353,4815.1953125,2524380.8357414845
DE,0.47154722000000004,4815.2109375,1223273.0365557258
DE,0.506611821,4815.1953125,1602465.1727844423
DE,0.49881432600000003,4815.2109375,2071585.1831969717
DE,0.607785309,4815.1953125,4367410.53701659
DE,0.5999075540000001,4815.2109375,2346505.367118245
DE,0.6357656770000001,4815.2109375,3741845.9545833296
DE,0.5226370340000001,4815.2109375,2003979.7662899797
DE,0.490538136,4815.1953125,1721732.233426824
DE,0.6677657130000001,4815.2109375,3553796.1248839437
DE,0.652603948,4815.1953125,4310373.483475053
DE,0.5653831410000001,4815.2109375,2089865.4133868928
DE,0.6220024660000001,4815.2109375,3569323.2803159845
DE,0.619552985,4815.1953125,4110147.281574612
DE,0.573314451,4815.1953125,2430197.75721565
DE,0.462720646,4815.1953125,1657867.9495694432
DE,0.55665838,4815.1953125,2225165.3621601886
DE,0.634821914,4815.1953125,3242711.5185617516
DE,0.5991990300000001,4815.2109375,3640847.395231694
DE,0.620740362,4815.1953125,2897611.1486358223
DE,0.662011495,4815.1953125,4383523.3105332395
DE,0.665030325,4815.1953125,3886852.2182409535
DE,0.6239694800000001,4815.2109375,3913642.1690960117
DE,0.5101410820000001,4815.2109375,1605532.0726393352
DE,0.6684998510000001,4815.2109375,4373033.019020869
DE,0.7177102820000001,4815.2109375,3631842.517790377
DE,0.5835690610000001,4815.2109375,3234308.094247565
DE,0.556621789,4815.1953125,2533216.9085772447
DE,0.6748527590000001,4815.2109375,4046665.6149200103
DE,0.607499659,4815.1953125,2383997.491225099
DE,0.58283383,4815.1953125,2254601.181136215
DE,0.510450571,4815.1953125,1380867.6187934852
DE,0.654766346,4815.1953125,3671602.584379536
DE,0.5808682970000001,4815.2109375,3606853.7531888015
DE,0.45022861200000003,4815.2109375,1742891.1246062939
DE,0.604671562,4815.1953125,3808299.03239309
DE,0.537865287,4815.1953125,1766931.4620768717
DE,0.610480754,4815.1953125,4128420.913422071
DE,0.676667938,4815.1953125,4288545.149221887
DE,0.46329160300000005,4815.2109375,1639145.2771409794
DE,0.584660132,4815.1953125,2237445.625785011
DE,0.5331440550000001,4815.2109375,1646870.520455632
DE,0.643857289,4815.1953125,4527078.465645812
DE,0.6639307320000001,4815.2109375,4694603.84519199
DE,0.544991219,4815.1953125,1525125.2535443844
DE,0.699077146,4815.1953125,4185230.9207356274
DE,0.5389428270000001,4815.2109375,1964482.9580638148
AVG-DE,0.5963334712699999,5603.794453125,2995295.068518249,
VT,0.8125626330000001,86157.625,5476265.313000033
VT,1.063352893,6017.0859375,1.156282520112355E7
VT,1.0834457240000002,6017.1015625,1.2066903726647934E7
VT,0.8658852210000001,6017.1015625,7047895.3665666105
VT,0.820672344,6017.0859375,6830681.600012368
VT,0.86179817,6017.0859375,6415118.186845959
VT,0.806371995,6017.0859375,5866449.053653132
VT,0.7832582330000001,6017.1015625,5003300.878596303
VT,0.986076237,6017.0859375,9127611.003397336
VT,0.836875315,6017.0859375,5507704.888606415
VT,0.9400665920000001,6017.1015625,8142091.360515912
VT,0.8171960420000001,6017.1015625,5277279.397240053
VT,1.0072212790000001,6017.1015625,1.0014824395011224E7
VT,0.85780235,6017.0859375,6390451.736758433
VT,1.010574504,6017.0859375,1.1741754311322056E7
VT,1.059259669,6017.0859375,1.1501311303986732E7
VT,1.063242213,6017.0859375,1.0720480315160397E7
VT,0.966150076,6017.0859375,9581441.998410305
VT,1.011865336,6017.0859375,9822066.56207166
VT,0.9427871360000001,6017.1015625,9630615.17187722
VT,0.825802193,6017.0859375,6017325.104275902
VT,0.9523002780000001,6017.1015625,8582692.774520252
VT,0.9034743590000001,6017.1015625,8517549.948503569
VT,1.0085898070000001,6017.1015625,1.2417707946267044E7
VT,1.020034058,6017.0859375,1.1359224390617864E7
VT,1.082792924,6017.0859375,1.2679956682952033E7
VT,1.0320556440000002,6017.1015625,1.1157909823480658E7
VT,0.980654498,6017.0859375,1.18486129221704E7
VT,0.9975096250000001,6017.1015625,1.1817647757628782E7
VT,0.828814151,6017.0859375,5290083.088524379
VT,0.8191329620000001,6017.1015625,6699049.96044385
VT,1.001067154,6017.0859375,1.1725083765519097E7
VT,0.8919412640000001,6017.1015625,7679237.84476237
VT,1.130205589,6017.0859375,1.141276109376399E7
VT,1.04416701,6017.0859375,1.094201207917895E7
VT,0.975675104,6017.0859375,1.1989517991127284E7
VT,0.906312419,6017.0859375,8034416.018080201
VT,0.9956353980000001,6017.1015625,1.0974745031081568E7
VT,1.007496672,6017.0859375,1.3993697006288845E7
VT,1.000491783,6017.0859375,1.1329236607045643E7
VT,0.820258225,6017.0859375,5984516.180719836
VT,0.800210439,6017.0859375,5062183.83295626
VT,0.801101778,6017.0859375,5874497.479784187
