North Providence,Providence,Cranston,Warwick,West Warwick,East Greenwich,Wakefield,Kingston,West Kingston,Bradford,Westerly,Ashaway,Hope Valley,Newport,Tiverton,Bristol,Barrington,East Providence,Central Falls,Pawtucket,Greenville,Harmony,Pascoag,Harrisville,Woonsocket,Cumberland Hill,Valley Falls,North Providence,0.0018526660000000002,82673.5859375,313609.48781259195
Pawtucket,Central Falls,East Providence,Newport,Tiverton,Bristol,Barrington,Pascoag,Harrisville,Harmony,Greenville,Valley Falls,Cumberland Hill,Woonsocket,Westerly,Bradford,Ashaway,Hope Valley,Wakefield,Kingston,West Kingston,East Greenwich,West Warwick,Warwick,Cranston,Providence,North Providence,Pawtucket,0.033801711000000005,2805.078125,435409.58121959394
West Kingston,Kingston,Wakefield,East Greenwich,West Warwick,Warwick,Cranston,Providence,North Providence,Greenville,Harmony,Pascoag,Harrisville,Cumberland Hill,Valley Falls,Woonsocket,Pawtucket,Central Falls,East Providence,Barrington,Bristol,Tiverton,Newport,Bradford,Westerly,Ashaway,Hope Valley,West Kingston,0.012720002000000001,2799.953125,294666.51343128196
Harrisville,Pascoag,Harmony,Greenville,Woonsocket,Cumberland Hill,Valley Falls,East Providence,Barrington,Bristol,Central Falls,Pawtucket,North Providence,Providence,Cranston,Warwick,West Warwick,East Greenwich,Hope Valley,Ashaway,Westerly,Bradford,Tiverton,Newport,Wakefield,Kingston,West Kingston,Harrisville,0.236490691,2813.0,343148.06469044194
